,date,Infected,Area
128,2020-08-25,0,Khulna
129,2020-08-24,0,Khulna
130,2020-08-23,0,Khulna
131,2020-08-22,0,Khulna
132,2020-08-21,0,Khulna
133,2020-08-20,0,Khulna
134,2020-08-19,0,Khulna
135,2020-08-18,0,Khulna
136,2020-08-17,0,Khulna
137,2020-08-16,0,Khulna
138,2020-08-15,0,Khulna
139,2020-08-14,0,Khulna
140,2020-08-13,0,Khulna
141,2020-08-12,0,Khulna
142,2020-08-11,0,Khulna
143,2020-08-10,0,Khulna
144,2020-08-09,0,Khulna
145,2020-08-08,0,Khulna
146,2020-08-07,0,Khulna
147,2020-08-06,0,Khulna
148,2020-08-05,0,Khulna
149,2020-08-04,1,Khulna
150,2020-08-03,0,Khulna
151,2020-08-02,0,Khulna
152,2020-08-01,0,Khulna
153,2020-07-31,0,Khulna
154,2020-07-30,1,Khulna
155,2020-07-29,0,Khulna
156,2020-07-28,0,Khulna
157,2020-07-27,0,Khulna
158,2020-07-26,0,Khulna
159,2020-07-25,0,Khulna
160,2020-07-24,0,Khulna
161,2020-07-23,0,Khulna
162,2020-07-22,0,Khulna
163,2020-07-21,0,Khulna
164,2020-07-20,0,Khulna
165,2020-07-19,0,Khulna
166,2020-07-18,0,Khulna
167,2020-07-17,0,Khulna
168,2020-07-16,0,Khulna
169,2020-07-15,0,Khulna
170,2020-07-14,0,Khulna
171,2020-07-13,0,Khulna
172,2020-07-12,0,Khulna
173,2020-07-11,0,Khulna
174,2020-07-10,2,Khulna
175,2020-07-09,0,Khulna
176,2020-07-08,0,Khulna
177,2020-07-07,0,Khulna
178,2020-07-06,0,Khulna
179,2020-07-05,0,Khulna
180,2020-07-04,0,Khulna
181,2020-07-03,0,Khulna
182,2020-07-02,0,Khulna
183,2020-07-01,0,Khulna
184,2020-06-30,0,Khulna
185,2020-06-29,0,Khulna
186,2020-06-28,0,Khulna
187,2020-06-27,0,Khulna
188,2020-06-26,0,Khulna
189,2020-06-25,0,Khulna
190,2020-06-24,0,Khulna
191,2020-06-23,0,Khulna
192,2020-06-22,0,Khulna
193,2020-06-21,0,Khulna
194,2020-06-20,0,Khulna
195,2020-06-19,0,Khulna
196,2020-06-18,0,Khulna
197,2020-06-17,0,Khulna
198,2020-06-16,0,Khulna
199,2020-06-15,1,Khulna
200,2020-06-14,0,Khulna
201,2020-06-13,0,Khulna
202,2020-06-12,1,Khulna
203,2020-06-11,0,Khulna
204,2020-06-10,0,Khulna
205,2020-06-09,0,Khulna
206,2020-06-08,0,Khulna
207,2020-06-07,0,Khulna
208,2020-06-06,0,Khulna
209,2020-06-05,0,Khulna
210,2020-06-04,0,Khulna
211,2020-06-03,0,Khulna
212,2020-06-02,0,Khulna
213,2020-06-01,0,Khulna
214,2020-05-31,0,Khulna
215,2020-05-30,0,Khulna
216,2020-05-29,0,Khulna
217,2020-05-28,0,Khulna
218,2020-05-27,0,Khulna
219,2020-05-26,0,Khulna
220,2020-05-25,0,Khulna
221,2020-05-24,0,Khulna
222,2020-05-23,0,Khulna
223,2020-05-22,0,Khulna
224,2020-05-21,0,Khulna
225,2020-05-20,0,Khulna
226,2020-05-19,0,Khulna
227,2020-05-18,0,Khulna
228,2020-05-17,0,Khulna
229,2020-05-16,0,Khulna
230,2020-05-15,0,Khulna
231,2020-05-14,0,Khulna
232,2020-05-13,0,Khulna
233,2020-05-12,0,Khulna
234,2020-05-11,0,Khulna
235,2020-05-10,0,Khulna
236,2020-05-09,0,Khulna
237,2020-05-08,0,Khulna
238,2020-05-07,0,Khulna
239,2020-05-06,0,Khulna
240,2020-05-05,0,Khulna
241,2020-05-04,0,Khulna
242,2020-05-03,0,Khulna
243,2020-05-02,0,Khulna
244,2020-05-01,0,Khulna
245,2020-04-30,0,Khulna
246,2020-04-29,0,Khulna
247,2020-04-28,0,Khulna
248,2020-04-27,0,Khulna
249,2020-04-26,0,Khulna
250,2020-04-25,0,Khulna
251,2020-04-24,0,Khulna
252,2020-04-23,0,Khulna
253,2020-04-22,0,Khulna
254,2020-04-21,0,Khulna
255,2020-04-20,0,Khulna
256,2020-04-19,0,Khulna
257,2020-04-18,0,Khulna
258,2020-04-17,0,Khulna
259,2020-04-16,0,Khulna
260,2020-04-15,0,Khulna
261,2020-04-14,1,Khulna
262,2020-04-13,0,Khulna
263,2020-04-12,0,Khulna
264,2020-04-11,0,Khulna
265,2020-04-10,0,Khulna
266,2020-04-09,0,Khulna
267,2020-04-08,0,Khulna
268,2020-04-07,0,Khulna
269,2020-04-06,0,Khulna
270,2020-04-05,0,Khulna
271,2020-04-04,0,Khulna
272,2020-04-03,0,Khulna
273,2020-04-02,0,Khulna
274,2020-04-01,0,Khulna
275,2020-03-31,0,Khulna
276,2020-03-30,0,Khulna
277,2020-03-29,0,Khulna
278,2020-03-28,0,Khulna
279,2020-03-27,0,Khulna
280,2020-03-26,0,Khulna
281,2020-03-25,0,Khulna
282,2020-03-24,0,Khulna
283,2020-03-23,0,Khulna
284,2020-03-22,1,Khulna
285,2020-03-21,0,Khulna
286,2020-03-20,0,Khulna
287,2020-03-19,0,Khulna
288,2020-03-18,0,Khulna
289,2020-03-17,0,Khulna
290,2020-03-16,0,Khulna
291,2020-03-15,0,Khulna
292,2020-03-14,0,Khulna
293,2020-03-13,0,Khulna
294,2020-03-12,0,Khulna
295,2020-03-11,0,Khulna
296,2020-03-10,0,Khulna
297,2020-03-09,0,Khulna
298,2020-03-08,0,Khulna
299,2020-03-07,0,Khulna
300,2020-03-06,0,Khulna
301,2020-03-05,0,Khulna
302,2020-03-04,0,Khulna
303,2020-03-03,0,Khulna
304,2020-03-02,0,Khulna
305,2020-03-01,0,Khulna
306,2020-02-29,0,Khulna
307,2020-02-28,0,Khulna
308,2020-02-27,0,Khulna
309,2020-02-26,0,Khulna
310,2020-02-25,0,Khulna
311,2020-02-24,0,Khulna
312,2020-02-23,0,Khulna
313,2020-02-22,0,Khulna
314,2020-02-21,0,Khulna
315,2020-02-20,0,Khulna
316,2020-02-19,0,Khulna
317,2020-02-18,0,Khulna
318,2020-02-17,0,Khulna
319,2020-02-16,0,Khulna
320,2020-02-15,0,Khulna
321,2020-02-14,0,Khulna
322,2020-02-13,0,Khulna
323,2020-02-12,0,Khulna
324,2020-02-11,0,Khulna
325,2020-02-10,0,Khulna
326,2020-02-09,0,Khulna
327,2020-02-08,0,Khulna
328,2020-02-07,0,Khulna
329,2020-02-06,0,Khulna
330,2020-02-05,2,Khulna
331,2020-02-04,0,Khulna
332,2020-02-03,0,Khulna
333,2020-02-02,1,Khulna
334,2020-02-01,0,Khulna
335,2020-01-31,0,Khulna
336,2020-01-30,0,Khulna
337,2020-01-29,0,Khulna
338,2020-01-28,0,Khulna
339,2020-01-27,0,Khulna
340,2020-01-26,0,Khulna
341,2020-01-25,0,Khulna
342,2020-01-24,0,Khulna
343,2020-01-23,0,Khulna
344,2020-01-22,0,Khulna
345,2020-01-21,0,Khulna
346,2020-01-20,0,Khulna
347,2020-01-19,0,Khulna
348,2020-01-18,0,Khulna
349,2020-01-17,0,Khulna
350,2020-01-16,0,Khulna
351,2020-01-15,0,Khulna
352,2020-01-14,0,Khulna
353,2020-01-13,0,Khulna
354,2020-01-12,0,Khulna
355,2020-01-11,0,Khulna
356,2020-01-10,0,Khulna
357,2020-01-09,0,Khulna
358,2020-01-08,1,Khulna
359,2020-01-07,2,Khulna
360,2020-01-06,1,Khulna
361,2020-01-05,0,Khulna
362,2020-01-04,0,Khulna
363,2020-01-03,0,Khulna
364,2020-01-02,0,Khulna
365,2020-01-01,1,Khulna
